vrpNumber, routeId, equipmentTypeId, transModeId, warehouseId, startDateTime, endDateTime, totalCost, unitCost, LTLCost, totalDistance, repositionDistance, totalWeight, totalCubic, totalQty, maxWeight, maxCubic, maxQty, totalTime, dutyTime, operatingTime, repositionTime, serviceTime, waitTime, shortBreakTime, breakTime, fixedCost, distanceCost, repositionDistanceCost, distanceSurchargeCost, stopCost, dutyTimeCost, driveTimeCost, serviceTimeCost, waitTimeCost, shortBreakCost, longBreakCost, outOfRoutePercent, equipmentId, carrierId, startDateTimeLocal, endDateTimeLocal, lockType, isMixed, deliveredStops, deliveredQty, deliveredWeight, deliveredCubic, pickupStops, pickupQty, pickupWeight, pickupCubic, routeUtilization, assetId, rateId, sequenceIdInAsset, num_Property1, num_Property2, num_Property3, outOfRouteMile, debugRouteId, additiveCost, costPerQty, costPerWeight, costPerCubic, segmentUtilization, decompositionId, dockDoorId, dockDoorServiceStartTime, dockDoorServiceEndTime, outOfRouteCost, chargingCost, overrideCost, minimumCost, inventoryHoldingCost
,"000011","Truck",,"DC_1",10/02/2016 20:33,10/03/2016 00:00,262.64,0.00,0.00,189.70,0.00,0.00,0.00,301.00,0.00,0.00,1000.00,206.94,206.94,206.94,0.00,0.00,0.00,0.00,0.00,1200.00,227.64,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,10/02/2016 20:33,10/03/2016 00:00,0,N,1,301.00,0.00,0.00,1,301.00,0.00,0.00,0.30,"000011","1",,,,,0.00,"15185",0.00,4.86,,,0.30,,,,,0.00,0.00,0.00,0.00,0.00
,"000012","Truck",,"DC_1",05/17/2016 17:56,05/18/2016 00:00,435.14,0.00,0.00,333.45,0.00,0.00,0.00,97.00,0.00,0.00,1000.00,363.77,363.77,363.77,0.00,0.00,0.00,0.00,0.00,1200.00,400.14,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,05/17/2016 17:56,05/18/2016 00:00,0,N,1,97.00,0.00,0.00,1,97.00,0.00,0.00,0.10,"000012","1",,,,,0.00,"15186",0.00,16.86,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000013","Truck",,"DC_1",02/19/2016 20:33,02/20/2016 09:06,898.53,0.00,0.00,690.44,0.00,0.00,0.00,189.00,0.00,0.00,1000.00,753.21,753.21,753.21,0.00,0.00,0.00,0.00,0.00,1200.00,828.53,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,"0",,02/19/2016 20:33,02/20/2016 09:06,0,N,2,189.00,0.00,0.00,1,189.00,0.00,0.00,0.19,"000013","1",,,,,375.62,"15187",0.00,11.10,,,0.12,,,,,0.00,0.00,0.00,0.00,0.00
,"000014","Truck",,"DC_1",04/08/2016 20:33,04/09/2016 07:12,773.39,0.00,0.00,586.16,0.00,0.00,0.00,275.00,0.00,0.00,1000.00,639.44,639.44,639.44,0.00,0.00,0.00,0.00,0.00,1200.00,703.39,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,"0",,04/08/2016 20:33,04/09/2016 07:12,0,N,2,275.00,0.00,0.00,1,275.00,0.00,0.00,0.28,"000014","1",,,,,252.70,"15188",0.00,7.18,,,0.22,,,,,0.00,0.00,0.00,0.00,0.00
,"000015","Truck",,"DC_1",01/24/2016 17:56,01/25/2016 00:00,435.14,0.00,0.00,333.45,0.00,0.00,0.00,93.00,0.00,0.00,1000.00,363.77,363.77,363.77,0.00,0.00,0.00,0.00,0.00,1200.00,400.14,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,01/24/2016 17:56,01/25/2016 00:00,0,N,1,93.00,0.00,0.00,1,93.00,0.00,0.00,0.09,"000015","1",,,,,0.00,"15189",0.00,17.58,,,0.09,,,,,0.00,0.00,0.00,0.00,0.00
,"000016","Truck",,"DC_1",02/25/2016 23:59,02/28/2016 00:00,1260.06,0.00,0.00,962.55,0.00,0.00,0.00,386.00,0.00,0.00,1000.00,2880.94,2880.94,1050.05,0.00,0.00,1830.89,0.00,0.00,1200.00,1155.06,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,"0",,02/25/2016 23:59,02/28/2016 00:00,0,N,3,386.00,0.00,0.00,1,386.00,0.00,0.00,0.39,"000016","1",,,,,629.10,"15190",0.00,6.37,,,0.27,,,,,0.00,0.00,0.00,0.00,0.00
,"000017","Truck",,"DC_1",04/26/2016 20:33,04/27/2016 14:03,1260.06,0.00,0.00,962.55,0.00,0.00,0.00,272.00,0.00,0.00,1000.00,1050.05,1050.05,1050.05,0.00,0.00,0.00,0.00,0.00,1200.00,1155.06,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,"0",,04/26/2016 20:33,04/27/2016 14:03,0,N,3,272.00,0.00,0.00,1,272.00,0.00,0.00,0.27,"000017","1",,,,,629.10,"15191",0.00,9.04,,,0.16,,,,,0.00,0.00,0.00,0.00,0.00
,"000018","Truck",,"DC_1",04/20/2016 18:16,04/21/2016 06:50,899.45,0.00,0.00,691.21,0.00,0.00,0.00,195.00,0.00,0.00,1000.00,754.05,754.05,754.05,0.00,0.00,0.00,0.00,0.00,1200.00,829.45,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"0",,04/20/2016 18:16,04/21/2016 06:50,0,N,2,195.00,0.00,0.00,1,195.00,0.00,0.00,0.20,"000018","1",,,,,357.76,"15192",0.00,10.77,,,0.14,,,,,0.00,0.00,0.00,0.00,0.00
,"000019","Truck",,"DC_1",04/02/2016 20:33,04/03/2016 00:00,262.64,0.00,0.00,189.70,0.00,0.00,0.00,98.00,0.00,0.00,1000.00,206.94,206.94,206.94,0.00,0.00,0.00,0.00,0.00,1200.00,227.64,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,04/02/2016 20:33,04/03/2016 00:00,0,N,1,98.00,0.00,0.00,1,98.00,0.00,0.00,0.10,"000019","1",,,,,0.00,"15193",0.00,14.92,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000020","Truck",,"DC_1",05/05/2016 18:16,05/06/2016 00:00,412.78,0.00,0.00,314.82,0.00,0.00,0.00,194.00,0.00,0.00,1000.00,343.44,343.44,343.44,0.00,0.00,0.00,0.00,0.00,1200.00,377.78,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,05/05/2016 18:16,05/06/2016 00:00,0,N,1,194.00,0.00,0.00,1,194.00,0.00,0.00,0.19,"000020","1",,,,,0.00,"15194",0.00,8.31,,,0.19,,,,,0.00,0.00,0.00,0.00,0.00
,"000021","Truck",,"DC_1",12/12/2016 18:16,12/13/2016 00:00,412.78,0.00,0.00,314.82,0.00,0.00,0.00,98.00,0.00,0.00,1000.00,343.44,343.44,343.44,0.00,0.00,0.00,0.00,0.00,1200.00,377.78,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,12/12/2016 18:16,12/13/2016 00:00,0,N,1,98.00,0.00,0.00,1,98.00,0.00,0.00,0.10,"000021","1",,,,,0.00,"15195",0.00,16.46,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000022","Truck",,"DC_1",01/11/2016 17:56,01/12/2016 00:00,435.14,0.00,0.00,333.45,0.00,0.00,0.00,85.00,0.00,0.00,1000.00,363.77,363.77,363.77,0.00,0.00,0.00,0.00,0.00,1200.00,400.14,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,01/11/2016 17:56,01/12/2016 00:00,0,N,1,85.00,0.00,0.00,1,85.00,0.00,0.00,0.09,"000022","1",,,,,0.00,"15196",0.00,19.24,,,0.09,,,,,0.00,0.00,0.00,0.00,0.00
,"000023","Truck",,"DC_1",05/23/2016 18:16,05/24/2016 00:00,412.78,0.00,0.00,314.82,0.00,0.00,0.00,94.00,0.00,0.00,1000.00,343.44,343.44,343.44,0.00,0.00,0.00,0.00,0.00,1200.00,377.78,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,05/23/2016 18:16,05/24/2016 00:00,0,N,1,94.00,0.00,0.00,1,94.00,0.00,0.00,0.09,"000023","1",,,,,0.00,"15197",0.00,17.16,,,0.09,,,,,0.00,0.00,0.00,0.00,0.00
,"000024","Truck",,"DC_1",04/14/2016 18:16,04/15/2016 06:50,899.45,0.00,0.00,691.21,0.00,0.00,0.00,192.00,0.00,0.00,1000.00,754.05,754.05,754.05,0.00,0.00,0.00,0.00,0.00,1200.00,829.45,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"0",,04/14/2016 18:16,04/15/2016 06:50,0,N,2,192.00,0.00,0.00,1,192.00,0.00,0.00,0.19,"000024","1",,,,,357.76,"15198",0.00,10.93,,,0.14,,,,,0.00,0.00,0.00,0.00,0.00
,"000025","Truck",,"DC_1",03/16/2016 13:20,03/17/2016 00:00,773.39,0.00,0.00,586.16,0.00,0.00,0.00,172.00,0.00,0.00,1000.00,639.44,639.44,639.44,0.00,0.00,0.00,0.00,0.00,1200.00,703.39,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,"0",,03/16/2016 13:20,03/17/2016 00:00,0,N,2,172.00,0.00,0.00,1,172.00,0.00,0.00,0.17,"000025","1",,,,,252.70,"15199",0.00,11.47,,,0.12,,,,,0.00,0.00,0.00,0.00,0.00
,"000026","Truck",,"DC_4",04/26/2016 09:00,04/27/2016 04:32,1395.03,0.00,0.00,1075.03,0.00,0.00,0.00,486.00,0.00,0.00,1000.00,1172.76,1172.76,1172.76,0.00,0.00,0.00,0.00,0.00,1200.00,1290.03,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.58,"1",,04/26/2016 09:00,04/27/2016 04:32,0,N,3,486.00,0.00,0.00,1,486.00,0.00,0.00,0.49,"000026","1",,,,,774.52,"79045",0.00,5.34,,,0.30,,,,,0.00,0.00,0.00,0.00,0.00
,"000027","Truck",,"DC_4",03/02/2016 19:03,03/03/2016 00:00,360.65,0.00,0.00,271.38,0.00,0.00,0.00,98.00,0.00,0.00,1000.00,296.05,296.05,296.05,0.00,0.00,0.00,0.00,0.00,1200.00,325.65,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1",,03/02/2016 19:03,03/03/2016 00:00,0,N,1,98.00,0.00,0.00,1,98.00,0.00,0.00,0.10,"000027","1",,,,,0.00,"79046",0.00,15.93,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000028","Truck",,"DC_4",04/20/2016 19:45,04/21/2016 09:32,979.37,0.00,0.00,757.81,0.00,0.00,0.00,279.00,0.00,0.00,1000.00,826.70,826.70,826.70,0.00,0.00,0.00,0.00,0.00,1200.00,909.37,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,"1",,04/20/2016 19:45,04/21/2016 09:32,0,N,2,279.00,0.00,0.00,1,279.00,0.00,0.00,0.28,"000028","1",,,,,457.30,"79047",0.00,7.81,,,0.15,,,,,0.00,0.00,0.00,0.00,0.00
,"000029","Truck",,"DC_4",03/20/2016 19:03,03/21/2016 00:00,360.65,0.00,0.00,271.38,0.00,0.00,0.00,84.00,0.00,0.00,1000.00,296.05,296.05,296.05,0.00,0.00,0.00,0.00,0.00,1200.00,325.65,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1",,03/20/2016 19:03,03/21/2016 00:00,0,N,1,84.00,0.00,0.00,1,84.00,0.00,0.00,0.08,"000029","1",,,,,0.00,"79048",0.00,18.58,,,0.08,,,,,0.00,0.00,0.00,0.00,0.00
,"000030","Truck",,"DC_4",01/22/2016 05:21,01/23/2016 00:00,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,283.00,0.00,0.00,1000.00,1118.64,1118.64,1118.64,0.00,0.00,0.00,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,01/22/2016 05:21,01/23/2016 00:00,0,N,3,283.00,0.00,0.00,1,283.00,0.00,0.00,0.28,"000030","1",,,,,724.91,"79049",0.00,8.96,,,0.16,,,,,0.00,0.00,0.00,0.00,0.00
,"000031","Truck",,"DC_4",02/08/2016 15:12,02/09/2016 00:00,650.03,0.00,0.00,483.35,0.00,0.00,0.00,345.00,0.00,0.00,1000.00,527.30,527.30,527.30,0.00,0.00,0.00,0.00,0.00,1200.00,580.03,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,"1",,02/08/2016 15:12,02/09/2016 00:00,0,N,2,345.00,0.00,0.00,1,345.00,0.00,0.00,0.35,"000031","1",,,,,211.98,"79050",0.00,5.36,,,0.25,,,,,0.00,0.00,0.00,0.00,0.00
,"000032","Truck",,"DC_4",04/02/2016 23:59,04/05/2016 09:51,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,441.00,0.00,0.00,1000.00,3471.88,3471.88,1118.64,0.00,0.00,2353.24,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,04/02/2016 23:59,04/05/2016 09:51,0,N,3,441.00,0.00,0.00,1,441.00,0.00,0.00,0.44,"000032","1",,,,,724.91,"79051",0.00,5.75,,,0.21,,,,,0.00,0.00,0.00,0.00,0.00
,"000033","Truck",,"DC_4",09/14/2016 19:03,09/15/2016 00:00,360.65,0.00,0.00,271.38,0.00,0.00,0.00,200.00,0.00,0.00,1000.00,296.05,296.05,296.05,0.00,0.00,0.00,0.00,0.00,1200.00,325.65,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1",,09/14/2016 19:03,09/15/2016 00:00,0,N,1,200.00,0.00,0.00,1,200.00,0.00,0.00,0.20,"000033","1",,,,,0.00,"79052",0.00,7.80,,,0.20,,,,,0.00,0.00,0.00,0.00,0.00
,"000034","Truck",,"DC_4",04/14/2016 04:27,04/15/2016 00:00,1395.03,0.00,0.00,1075.03,0.00,0.00,0.00,370.00,0.00,0.00,1000.00,1172.76,1172.76,1172.76,0.00,0.00,0.00,0.00,0.00,1200.00,1290.03,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.58,"1",,04/14/2016 04:27,04/15/2016 00:00,0,N,3,370.00,0.00,0.00,1,370.00,0.00,0.00,0.37,"000034","1",,,,,774.52,"79053",0.00,7.01,,,0.29,,,,,0.00,0.00,0.00,0.00,0.00
,"000035","Truck",,"DC_4",01/15/2016 05:21,01/16/2016 00:00,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,368.00,0.00,0.00,1000.00,1118.64,1118.64,1118.64,0.00,0.00,0.00,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,01/15/2016 05:21,01/16/2016 00:00,0,N,3,368.00,0.00,0.00,1,368.00,0.00,0.00,0.37,"000035","1",,,,,724.91,"79054",0.00,6.89,,,0.18,,,,,0.00,0.00,0.00,0.00,0.00
,"000036","Truck",,"DC_4",09/04/2016 19:45,09/05/2016 04:32,650.03,0.00,0.00,483.35,0.00,0.00,0.00,400.00,0.00,0.00,1000.00,527.30,527.30,527.30,0.00,0.00,0.00,0.00,0.00,1200.00,580.03,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,"1",,09/04/2016 19:45,09/05/2016 04:32,0,N,2,400.00,0.00,0.00,1,400.00,0.00,0.00,0.40,"000036","1",,,,,211.98,"79055",0.00,4.63,,,0.30,,,,,0.00,0.00,0.00,0.00,0.00
,"000037","Truck",,"DC_4",03/15/2016 18:32,03/16/2016 00:00,395.62,0.00,0.00,300.51,0.00,0.00,0.00,96.00,0.00,0.00,1000.00,327.83,327.83,327.83,0.00,0.00,0.00,0.00,0.00,1200.00,360.62,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1",,03/15/2016 18:32,03/16/2016 00:00,0,N,1,96.00,0.00,0.00,1,96.00,0.00,0.00,0.10,"000037","1",,,,,0.00,"79056",0.00,16.62,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000038","Truck",,"DC_4",01/03/2016 19:45,01/04/2016 14:24,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,479.00,0.00,0.00,1000.00,1118.64,1118.64,1118.64,0.00,0.00,0.00,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,01/03/2016 19:45,01/04/2016 14:24,0,N,3,479.00,0.00,0.00,1,479.00,0.00,0.00,0.48,"000038","1",,,,,724.91,"79057",0.00,5.29,,,0.28,,,,,0.00,0.00,0.00,0.00,0.00
,"000039","Truck",,"DC_4",02/25/2016 19:45,02/26/2016 14:24,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,283.00,0.00,0.00,1000.00,1118.64,1118.64,1118.64,0.00,0.00,0.00,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,02/25/2016 19:45,02/26/2016 14:24,0,N,3,283.00,0.00,0.00,1,283.00,0.00,0.00,0.28,"000039","1",,,,,724.91,"79058",0.00,8.96,,,0.16,,,,,0.00,0.00,0.00,0.00,0.00
,"000040","Truck",,"DC_4",04/08/2016 10:13,04/09/2016 00:00,979.37,0.00,0.00,757.81,0.00,0.00,0.00,279.00,0.00,0.00,1000.00,826.70,826.70,826.70,0.00,0.00,0.00,0.00,0.00,1200.00,909.37,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,"1",,04/08/2016 10:13,04/09/2016 00:00,0,N,2,279.00,0.00,0.00,1,279.00,0.00,0.00,0.28,"000040","1",,,,,457.30,"79059",0.00,7.81,,,0.21,,,,,0.00,0.00,0.00,0.00,0.00
,"000041","Truck",,"DC_4",01/08/2016 19:45,01/09/2016 14:24,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,367.00,0.00,0.00,1000.00,1118.64,1118.64,1118.64,0.00,0.00,0.00,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,01/08/2016 19:45,01/09/2016 14:24,0,N,3,367.00,0.00,0.00,1,367.00,0.00,0.00,0.37,"000041","1",,,,,724.91,"79060",0.00,6.91,,,0.17,,,,,0.00,0.00,0.00,0.00,0.00
,"000042","Truck",,"DC_4",02/15/2016 09:54,02/17/2016 00:00,1335.51,0.00,0.00,1025.42,0.00,0.00,0.00,461.00,0.00,0.00,1000.00,2285.88,2285.88,1118.64,0.00,0.00,1167.24,0.00,0.00,1200.00,1230.51,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,"1",,02/15/2016 09:54,02/17/2016 00:00,0,N,3,461.00,0.00,0.00,1,461.00,0.00,0.00,0.46,"000042","1",,,,,724.91,"79061",0.00,5.50,,,0.29,,,,,0.00,0.00,0.00,0.00,0.00
,"000043","Truck",,"DC_4",02/19/2016 15:12,02/20/2016 00:00,650.03,0.00,0.00,483.35,0.00,0.00,0.00,267.00,0.00,0.00,1000.00,527.30,527.30,527.30,0.00,0.00,0.00,0.00,0.00,1200.00,580.03,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,"1",,02/19/2016 15:12,02/20/2016 00:00,0,N,2,267.00,0.00,0.00,1,267.00,0.00,0.00,0.27,"000043","1",,,,,211.98,"79062",0.00,6.93,,,0.22,,,,,0.00,0.00,0.00,0.00,0.00
,"000044","Truck",,"DC_6",02/04/2016 21:57,02/06/2016 00:00,1788.30,0.00,0.00,1431.92,0.00,0.00,0.00,272.00,0.00,0.00,1000.00,1562.09,1562.09,1562.09,0.00,0.00,0.00,0.00,0.00,1200.00,1718.30,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,"2",,02/04/2016 21:57,02/06/2016 00:00,0,N,2,272.00,0.00,0.00,1,272.00,0.00,0.00,0.27,"000044","1",,,,,837.84,"126418",0.00,10.99,,,0.21,,,,,0.00,0.00,0.00,0.00,0.00
,"000045","Truck",,"DC_6",04/14/2016 23:59,04/17/2016 00:00,1974.27,0.00,0.00,1586.89,0.00,0.00,0.00,375.00,0.00,0.00,1000.00,2880.08,2880.08,1731.16,0.00,0.00,1148.92,0.00,0.00,1200.00,1904.27,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,"2",,04/14/2016 23:59,04/17/2016 00:00,0,N,2,375.00,0.00,0.00,1,375.00,0.00,0.00,0.38,"000045","1",,,,,992.82,"126419",0.00,8.46,,,0.25,,,,,0.00,0.00,0.00,0.00,0.00
