assetId, equipmentTypeId, equipmentId, equipmentAvailabilityId, equipmentLocationId, startDateTime, endDateTime, totalCost, equipmentFixedCost, totalRouteCost, totalDistance, repositionDistance, totalStops, inTransitStops, totalWeight, totalCubic, totalQty, totalTime, dutyTime, operatingTime, repositionTime, serviceTime, waitTime, shortBreakTime, longBreakTime, totalGapTimeBetweenRoutes, maxOutOfRoutePercent, avgOutOfRoutePercent, maxOutOfRouteMile, avgOutOfRouteMile, startDateTimeLocal, endDateTimeLocal, numberOfRoutes, routeUtilization, segmentUtilization, debugAssetId, timeUtilization, decompositionId
"0_tour36","Truck",,"0","DC_1",04/26/2016 17:56,04/27/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,97.00,363.77,363.77,363.77,,,,,,0.00,,,,,04/26/2016 17:56,04/27/2016 00:00,1,0.10,0.10,"tour0_35",0.00,
"0_tour37","Truck",,"0","DC_1",04/26/2016 20:33,04/27/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,92.00,206.94,206.94,206.94,,,,,,0.00,,,,,04/26/2016 20:33,04/27/2016 00:00,1,0.09,0.09,"tour0_36",0.00,
"0_tour38","Truck",,"0","DC_1",05/05/2016 18:16,05/06/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,194.00,343.44,343.44,343.44,,,,,,0.00,,,,,05/05/2016 18:16,05/06/2016 00:00,1,0.19,0.19,"tour0_37",0.00,
"0_tour39","Truck",,"0","DC_1",05/17/2016 17:56,05/18/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,97.00,363.77,363.77,363.77,,,,,,0.00,,,,,05/17/2016 17:56,05/18/2016 00:00,1,0.10,0.10,"tour0_38",0.00,
"0_tour40","Truck",,"0","DC_1",05/23/2016 18:16,05/24/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,94.00,343.44,343.44,343.44,,,,,,0.00,,,,,05/23/2016 18:16,05/24/2016 00:00,1,0.09,0.09,"tour0_39",0.00,
"0_tour41","Truck",,"0","DC_1",10/02/2016 20:33,10/03/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,301.00,206.94,206.94,206.94,,,,,,0.00,,,,,10/02/2016 20:33,10/03/2016 00:00,1,0.30,0.30,"tour0_40",0.00,
"0_tour42","Truck",,"0","DC_1",11/28/2016 20:33,11/29/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,100.00,206.94,206.94,206.94,,,,,,0.00,,,,,11/28/2016 20:33,11/29/2016 00:00,1,0.10,0.10,"tour0_41",0.00,
"0_tour43","Truck",,"0","DC_1",12/12/2016 18:16,12/13/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,98.00,343.44,343.44,343.44,,,,,,0.00,,,,,12/12/2016 18:16,12/13/2016 00:00,1,0.10,0.10,"tour0_42",0.00,
"1_tour1","Truck",,"1","DC_4",01/03/2016 18:32,01/04/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,194.00,327.83,327.83,327.83,,,,,,0.00,,,,,01/03/2016 18:32,01/04/2016 00:00,1,0.19,0.19,"tour1_0",0.00,
"1_tour2","Truck",,"1","DC_4",01/03/2016 19:45,01/04/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,285.00,527.30,527.30,527.30,,,,,,0.00,,,,,01/03/2016 19:45,01/04/2016 04:32,1,0.29,0.19,"tour1_1",0.00,
"1_tour3","Truck",,"1","DC_4",01/06/2016 18:32,01/07/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,83.00,327.83,327.83,327.83,,,,,,0.00,,,,,01/06/2016 18:32,01/07/2016 00:00,1,0.08,0.08,"tour1_2",0.00,
"1_tour4","Truck",,"1","DC_4",01/08/2016 19:45,01/09/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,284.00,527.30,527.30,527.30,,,,,,0.00,,,,,01/08/2016 19:45,01/09/2016 04:32,1,0.28,0.19,"tour1_3",0.00,
"1_tour5","Truck",,"1","DC_4",01/14/2016 19:45,01/15/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,272.00,527.30,527.30,527.30,,,,,,0.00,,,,,01/14/2016 19:45,01/15/2016 04:32,1,0.27,0.18,"tour1_4",0.00,
"1_tour6","Truck",,"1","DC_4",01/15/2016 18:32,01/16/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,96.00,327.83,327.83,327.83,,,,,,0.00,,,,,01/15/2016 18:32,01/16/2016 00:00,1,0.10,0.10,"tour1_5",0.00,
"1_tour7","Truck",,"1","DC_4",01/20/2016 19:45,01/21/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,187.00,527.30,527.30,527.30,,,,,,0.00,,,,,01/20/2016 19:45,01/21/2016 04:32,1,0.19,0.14,"tour1_6",0.00,
"1_tour8","Truck",,"1","DC_4",01/22/2016 18:32,01/23/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,96.00,327.83,327.83,327.83,,,,,,0.00,,,,,01/22/2016 18:32,01/23/2016 00:00,1,0.10,0.10,"tour1_7",0.00,
"1_tour9","Truck",,"1","DC_4",02/08/2016 15:12,02/09/2016 00:00,1850.03,1200.00,650.03,483.35,,3,2,,,345.00,527.30,527.30,527.30,,,,,,0.00,,,,,02/08/2016 15:12,02/09/2016 00:00,1,0.35,0.25,"tour1_8",0.00,
"1_tour10","Truck",,"1","DC_4",02/14/2016 15:12,02/15/2016 00:00,1850.03,1200.00,650.03,483.35,,3,2,,,280.00,527.30,527.30,527.30,,,,,,0.00,,,,,02/14/2016 15:12,02/15/2016 00:00,1,0.28,0.23,"tour1_9",0.00,
"1_tour11","Truck",,"1","DC_4",02/16/2016 18:32,02/17/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,181.00,327.83,327.83,327.83,,,,,,0.00,,,,,02/16/2016 18:32,02/17/2016 00:00,1,0.18,0.18,"tour1_10",0.00,
"1_tour12","Truck",,"1","DC_4",02/19/2016 15:12,02/20/2016 00:00,1850.03,1200.00,650.03,483.35,,3,2,,,267.00,527.30,527.30,527.30,,,,,,0.00,,,,,02/19/2016 15:12,02/20/2016 00:00,1,0.27,0.22,"tour1_11",0.00,
"1_tour13","Truck",,"1","DC_4",02/25/2016 18:32,02/26/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,96.00,327.83,327.83,327.83,,,,,,0.00,,,,,02/25/2016 18:32,02/26/2016 00:00,1,0.10,0.10,"tour1_12",0.00,
"1_tour14","Truck",,"1","DC_4",02/25/2016 19:45,02/26/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,187.00,527.30,527.30,527.30,,,,,,0.00,,,,,02/25/2016 19:45,02/26/2016 04:32,1,0.19,0.14,"tour1_13",0.00,
"1_tour15","Truck",,"1","DC_4",03/02/2016 19:03,03/03/2016 00:00,1560.65,1200.00,360.65,271.38,,2,1,,,98.00,296.05,296.05,296.05,,,,,,0.00,,,,,03/02/2016 19:03,03/03/2016 00:00,1,0.10,0.10,"tour1_14",0.00,
"1_tour16","Truck",,"1","DC_4",03/15/2016 18:32,03/16/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,96.00,327.83,327.83,327.83,,,,,,0.00,,,,,03/15/2016 18:32,03/16/2016 00:00,1,0.10,0.10,"tour1_15",0.00,
"1_tour17","Truck",,"1","DC_4",03/20/2016 19:03,03/21/2016 00:00,1560.65,1200.00,360.65,271.38,,2,1,,,84.00,296.05,296.05,296.05,,,,,,0.00,,,,,03/20/2016 19:03,03/21/2016 00:00,1,0.08,0.08,"tour1_16",0.00,
"1_tour18","Truck",,"1","DC_4",04/02/2016 23:59,04/05/2016 00:00,1850.03,1200.00,650.03,483.35,,3,2,,,357.00,2880.54,2880.54,527.30,,,2353.24,,,0.00,,,,,04/02/2016 23:59,04/05/2016 00:00,1,0.36,0.27,"tour1_17",0.01,
"1_tour19","Truck",,"1","DC_4",04/05/2016 18:32,04/06/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,171.00,327.83,327.83,327.83,,,,,,0.00,,,,,04/05/2016 18:32,04/06/2016 00:00,1,0.17,0.17,"tour1_18",0.00,
"1_tour20","Truck",,"1","DC_4",04/05/2016 19:45,04/06/2016 00:00,1514.99,1200.00,314.99,233.33,,2,1,,,99.00,254.54,254.54,254.54,,,,,,0.00,,,,,04/05/2016 19:45,04/06/2016 00:00,1,0.10,0.10,"tour1_19",0.00,
"1_tour21","Truck",,"1","DC_4",04/10/2016 18:32,04/11/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,178.00,327.83,327.83,327.83,,,,,,0.00,,,,,04/10/2016 18:32,04/11/2016 00:00,1,0.18,0.18,"tour1_20",0.00,
"1_tour22","Truck",,"1","DC_4",04/14/2016 15:12,04/15/2016 00:00,1850.03,1200.00,650.03,483.35,,3,2,,,285.00,527.30,527.30,527.30,,,,,,0.00,,,,,04/14/2016 15:12,04/15/2016 00:00,1,0.29,0.23,"tour1_21",0.00,
"1_tour23","Truck",,"1","DC_4",04/17/2016 18:32,04/18/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,93.00,327.83,327.83,327.83,,,,,,0.00,,,,,04/17/2016 18:32,04/18/2016 00:00,1,0.09,0.09,"tour1_22",0.00,
"1_tour24","Truck",,"1","DC_4",04/20/2016 19:45,04/21/2016 00:00,1514.99,1200.00,314.99,233.33,,2,1,,,186.00,254.54,254.54,254.54,,,,,,0.00,,,,,04/20/2016 19:45,04/21/2016 00:00,1,0.19,0.19,"tour1_23",0.00,
"1_tour25","Truck",,"1","DC_4",04/25/2016 18:32,04/26/2016 00:00,1595.62,1200.00,395.62,300.51,,2,1,,,198.00,327.83,327.83,327.83,,,,,,0.00,,,,,04/25/2016 18:32,04/26/2016 00:00,1,0.20,0.20,"tour1_24",0.00,
