ScenarioId	StepNumber	Replication	Time	AssetType	AssetUnitId	Location	Lat	Lon
0	1	1	01/11/2016 00:00:00	"TRUCK"	33	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 00:00:00	"TRUCK"	34	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 00:00:00	"TRUCK"	35	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 00:00:00	"TRUCK"	36	"DC_4"	51.922900	4.470560
0	1	1	01/11/2016 03:27:41	"TRUCK"	33	"CZ_7"	47.498150	19.040550
0	1	1	01/11/2016 05:27:21	"TRUCK"	36	"CZ_6"	53.553850	9.991670
0	1	1	01/11/2016 05:43:28	"TRUCK"	32	"CZ_2"	52.523430	13.411450
0	1	1	01/11/2016 05:43:28	"TRUCK"	35	"CZ_2"	52.523430	13.411450
0	1	1	01/11/2016 06:04:44	"TRUCK"	34	"CZ_8"	52.234970	21.008490
0	1	1	01/11/2016 06:55:22	"TRUCK"	33	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 10:54:42	"TRUCK"	36	"DC_4"	51.922900	4.470560
0	1	1	01/11/2016 11:26:56	"TRUCK"	32	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 11:26:56	"TRUCK"	35	"DC_1"	49.192050	16.613180
0	1	1	01/11/2016 12:09:28	"TRUCK"	34	"DC_1"	49.192050	16.613180
0	1	1	01/13/2016 00:00:00	"TRUCK"	37	"DC_6"	43.295020	5.374470
0	1	1	01/13/2016 00:00:00	"TRUCK"	38	"DC_6"	43.295020	5.374470
0	1	1	01/13/2016 00:00:00	"TRUCK"	39	"DC_6"	43.295020	5.374470
0	1	1	01/13/2016 00:00:00	"TRUCK"	40	"DC_1"	49.192050	16.613180
0	1	1	01/13/2016 00:00:00	"TRUCK"	41	"DC_1"	49.192050	16.613180
0	1	1	01/13/2016 00:00:00	"TRUCK"	42	"DC_4"	51.922900	4.470560
0	1	1	01/13/2016 00:00:00	"TRUCK"	43	"DC_4"	51.922900	4.470560
0	1	1	01/13/2016 04:12:59	"TRUCK"	43	"CZ_1"	51.513340	-0.088930
0	1	1	01/13/2016 04:56:01	"TRUCK"	42	"CZ_5"	48.856910	2.350850
0	1	1	01/13/2016 05:43:28	"TRUCK"	40	"CZ_2"	52.523430	13.411450
0	1	1	01/13/2016 05:43:28	"TRUCK"	41	"CZ_2"	52.523430	13.411450
0	1	1	01/13/2016 07:57:55	"TRUCK"	37	"CZ_4"	41.890550	12.494260
0	1	1	01/13/2016 08:25:58	"TRUCK"	43	"DC_4"	51.922900	4.470560
0	1	1	01/13/2016 09:52:02	"TRUCK"	42	"DC_4"	51.922900	4.470560
0	1	1	01/13/2016 10:42:34	"TRUCK"	38	"CZ_3"	40.416690	-3.700320
0	1	1	01/13/2016 10:42:34	"TRUCK"	39	"CZ_3"	40.416690	-3.700320
0	1	1	01/13/2016 11:26:56	"TRUCK"	40	"DC_1"	49.192050	16.613180
0	1	1	01/13/2016 11:26:56	"TRUCK"	41	"DC_1"	49.192050	16.613180
0	1	1	01/13/2016 15:55:50	"TRUCK"	37	"DC_6"	43.295020	5.374470
0	1	1	01/13/2016 21:25:08	"TRUCK"	38	"DC_6"	43.295020	5.374470
0	1	1	01/13/2016 21:25:08	"TRUCK"	39	"DC_6"	43.295020	5.374470
0	1	1	01/14/2016 00:00:00	"TRUCK"	44	"DC_1"	49.192050	16.613180
0	1	1	01/14/2016 00:00:00	"TRUCK"	45	"DC_4"	51.922900	4.470560
0	1	1	01/14/2016 03:27:41	"TRUCK"	44	"CZ_7"	47.498150	19.040550
0	1	1	01/14/2016 05:27:21	"TRUCK"	45	"CZ_6"	53.553850	9.991670
