ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	01/09/2016 10:42:34	"TRUCK"		SETUPUNITS						4.000000		1	
0	1	1	01/09/2016 12:09:28	"TRUCK"		SETUPUNITS						3.000000		1	
0	1	1	01/09/2016 12:09:28	"TRUCK"		AVAILABLEUNITS						96.000000		1	
0	1	1	01/09/2016 12:09:28	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/09/2016 12:09:28	"TRUCK"		AVAILABLEUNITS						97.000000		1	
0	1	1	01/09/2016 16:00:00	"TRUCK"		UTILIZEDUNITS						0.000000		1	
0	1	1	01/09/2016 16:00:00	"TRUCK"		SETUPUNITS						3.000000		1	
0	1	1	01/09/2016 21:25:08	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/09/2016 21:25:08	"TRUCK"		AVAILABLEUNITS						98.000000		1	
0	1	1	01/09/2016 21:25:08	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/09/2016 21:25:08	"TRUCK"		AVAILABLEUNITS						99.000000		1	
0	1	1	01/10/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						98.000000		1	
0	1	1	01/10/2016 00:00:00	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/10/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/10/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						1.000000		1	
0	1	1	01/10/2016 04:56:01	"TRUCK"		UTILIZEDUNITS						0.000000		1	
0	1	1	01/10/2016 04:56:01	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/10/2016 08:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/10/2016 08:00:00	"TRUCK"		AVAILABLEUNITS						99.000000		1	
0	1	1	01/10/2016 09:52:02	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/10/2016 09:52:02	"TRUCK"		AVAILABLEUNITS						100.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						99.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						1.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						98.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						2.000000		1	
0	1	1	01/11/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						97.000000		1	
