SourceName	CustomerName	FlowUnits	Distance	FlowXDistance	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_6	CZ_JOLIET_IL	2457.00000	42.37580	104117.33863	0	1	
GREENFIELD_DC_6	CZ_ELGIN_IL	1803.00000	40.93309	73802.36397	0	1	
GREENFIELD_DC_6	CZ_CHICAGO_IL	44928.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_6	CZ_HARVEY_IL	1597.00000	22.11673	35320.42000	0	1	
GREENFIELD_DC_6	CZ_CEDAR RAPIDS_IA	2106.00000	242.51369	510733.83627	0	1	
GREENFIELD_DC_6	CZ_DANVILLE_IL	7845.00000	139.43951	1093902.93492	0	1	
GREENFIELD_DC_6	CZ_GREEN BAY_WI	1734.00000	213.68006	370521.22532	0	1	
GREENFIELD_DC_6	CZ_MADISON_WI	3888.00000	141.78374	551255.19115	0	1	
GREENFIELD_DC_6	CZ_MILWAUKEE_WI	9915.00000	94.51662	937132.27306	0	1	
GREENFIELD_DC_6	CZ_PEORIA_IL	1917.00000	153.65642	294559.36291	0	1	
GREENFIELD_DC_6	CZ_ROCKFORD_IL	2547.00000	94.88591	241674.42086	0	1	
GREENFIELD_DC_6	CZ_SAINT LOUIS _MO	5322.00000	306.75084	1632527.97182	0	1	
GREENFIELD_DC_6	CZ_SOUTH BEND_IN	1686.00000	84.67902	142768.82500	0	1	
GREENFIELD_DC_6	CZ_SPRINGFIELD_IL	1938.00000	208.83840	404728.82628	0	1	
GREENFIELD_DC_7	CZ_MESA_AZ	7317.00000	6.94720	50832.65743	0	1	
GREENFIELD_DC_7	CZ_TEMPE_AZ	2694.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_7	CZ_SCOTTSDALE_AZ	3624.00000	7.36227	26680.84879	0	1	
GREENFIELD_DC_7	CZ_PHOENIX_AZ	24093.00000	9.30215	224116.69371	0	1	
GREENFIELD_DC_7	CZ_CHANDLER_AZ	3936.00000	11.19416	44060.20540	0	1	
GREENFIELD_DC_7	CZ_GILBERT_AZ	3474.00000	11.18265	38848.51990	0	1	
GREENFIELD_DC_7	CZ_GLENDALE_AZ	3780.00000	18.89832	71435.65796	0	1	
GREENFIELD_DC_7	CZ_PEORIA_AZ	2568.00000	25.20531	64727.24051	0	1	
GREENFIELD_DC_7	CZ_SURPRISE_AZ	1959.00000	34.75463	68084.32158	0	1	
GREENFIELD_DC_7	CZ_ALBUQUERQUE_NM	9099.00000	378.67205	3445536.97274	0	1	
GREENFIELD_DC_7	CZ_EL PASO_TX	10818.00000	395.40361	4277476.28318	0	1	
GREENFIELD_DC_7	CZ_FARMINGTON_NM	6362.00000	363.71884	2313979.26133	0	1	
GREENFIELD_DC_7	CZ_TUCSON_AZ	8670.00000	117.95744	1022690.99775	0	1	
GREENFIELD_DC_8	CZ_LITTLE ROCK_AR	3225.00000	368.14921	1187281.21330	0	1	
GREENFIELD_DC_8	CZ_PINE BLUFF_AR	7129.00000	368.58482	2627641.14668	0	1	
GREENFIELD_DC_8	CZ_FRISCO_TX	1950.00000	45.71704	89148.22247	0	1	
GREENFIELD_DC_8	CZ_PLANO_TX	4332.00000	42.45455	183913.10749	0	1	
GREENFIELD_DC_8	CZ_MCKINNEY_TX	2184.00000	56.95030	124379.45246	0	1	
GREENFIELD_DC_8	CZ_DENTON_TX	1890.00000	46.17846	87277.29683	0	1	
GREENFIELD_DC_8	CZ_CARROLLTON_TX	1986.00000	32.15631	63862.43479	0	1	
GREENFIELD_DC_8	CZ_IRVING_TX	3606.00000	22.31041	80451.35294	0	1	
GREENFIELD_DC_8	CZ_DALLAS_TX	19965.00000	25.26651	504445.87583	0	1	
GREENFIELD_DC_8	CZ_GARLAND_TX	3780.00000	39.75412	150270.56811	0	1	
GREENFIELD_DC_8	CZ_MESQUITE_TX	2331.00000	37.22312	86767.08687	0	1	
GREENFIELD_DC_8	CZ_NORMAN_OK	1848.00000	208.23802	384823.86198	0	1	
GREENFIELD_DC_8	CZ_OKLAHOMA CITY_OK	9666.00000	230.40661	2227110.30564	0	1	
GREENFIELD_DC_8	CZ_ARLINGTON_TX	6090.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_8	CZ_GRAND PRAIRIE_TX	2922.00000	11.71573	34233.35310	0	1	
GREENFIELD_DC_8	CZ_FORT WORTH_TX	12354.00000	16.08618	198728.68063	0	1	
GREENFIELD_DC_8	CZ_ABILENE_TX	1950.00000	168.63024	328828.95971	0	1	
GREENFIELD_DC_8	CZ_AMARILLO_TX	3177.00000	377.94844	1200742.19054	0	1	
GREENFIELD_DC_8	CZ_HOT SPRINGS_AR	4710.00000	313.28246	1475560.39487	0	1	
GREENFIELD_DC_8	CZ_LUBBOCK_TX	3825.00000	329.56624	1260590.85337	0	1	
GREENFIELD_DC_8	CZ_NACOGDOCHES_TX	7694.00000	188.92353	1453577.63364	0	1	
GREENFIELD_DC_8	CZ_SHREVEPORT_LA	3321.00000	230.32294	764902.49966	0	1	
GREENFIELD_DC_8	CZ_TEXARKANA_TX	2239.00000	218.13512	488404.52405	0	1	
GREENFIELD_DC_8	CZ_TULSA_OK	6531.00000	293.61573	1917604.30442	0	1	
GREENFIELD_DC_8	CZ_WACO_TX	2079.00000	87.81467	182566.70838	0	1	
GREENFIELD_DC_8	CZ_WICHITA FALLS_TX	1743.00000	137.94248	240433.73748	0	1	
GREENFIELD_DC_9	CZ_MOUNT VERNON_NY	9033.00000	18.82914	170083.66659	0	1	
GREENFIELD_DC_9	CZ_YONKERS_NY	3267.00000	17.92553	58562.71963	0	1	
GREENFIELD_DC_9	CZ_STAMFORD_CT	2043.00000	40.18954	82107.22564	0	1	
GREENFIELD_DC_9	CZ_CAMDEN_NJ	5282.00000	92.20322	487017.42317	0	1	
GREENFIELD_DC_9	CZ_PHILADELPHIA_PA	25434.00000	93.70881	2383389.93897	0	1	
GREENFIELD_DC_9	CZ_CHESTER_PA	13123.00000	108.35084	1421888.10168	0	1	
GREENFIELD_DC_9	CZ_NORRISTOWN_PA	10705.00000	93.98842	1006146.02728	0	1	
GREENFIELD_DC_9	CZ_ELIZABETH_NJ	2082.00000	11.33663	23602.85708	0	1	
GREENFIELD_DC_9	CZ_NEWARK_NJ	4620.00000	6.99090	32297.95363	0	1	
GREENFIELD_DC_9	CZ_JERSEY CITY_NJ	4128.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_9	CZ_NEW YORK_NY	136251.00000	4.35214	592983.02721	0	1	
GREENFIELD_DC_9	CZ_PATERSON_NJ	2436.00000	14.47027	35249.56987	0	1	
GREENFIELD_DC_9	CZ_NEWBURGH_NY	12167.00000	60.42210	735155.70938	0	1	
GREENFIELD_DC_9	CZ_POUGHKEEPSIE_NY	6412.00000	77.48138	496810.60447	0	1	
GREENFIELD_DC_9	CZ_ALLENTOWN_PA	1968.00000	87.41409	172030.93329	0	1	
GREENFIELD_DC_9	CZ_TRENTON_NJ	7348.00000	60.88651	447394.07424	0	1	
GREENFIELD_DC_9	CZ_SYRACUSE_NY	2421.00000	223.89422	542047.90309	0	1	
GREENFIELD_DC_10	CZ_CARLSBAD_CA	1755.00000	59.19201	103881.97202	0	1	
GREENFIELD_DC_10	CZ_OCEANSIDE_CA	2784.00000	55.57033	154707.80246	0	1	
GREENFIELD_DC_10	CZ_ESCONDIDO_CA	2400.00000	73.29994	175919.86732	0	1	
GREENFIELD_DC_10	CZ_MURRIETA_CA	1725.00000	46.90113	80904.44133	0	1	
GREENFIELD_DC_10	CZ_TEMECULA_CA	1668.00000	53.65704	89499.94328	0	1	
GREENFIELD_DC_10	CZ_EL MONTE_CA	1890.00000	29.28852	55355.30865	0	1	
GREENFIELD_DC_10	CZ_PASADENA_CA	2286.00000	37.19814	85034.95570	0	1	
GREENFIELD_DC_10	CZ_WEST COVINA_CA	1767.00000	25.97189	45892.32415	0	1	
GREENFIELD_DC_10	CZ_BURBANK_CA	1722.00000	45.78587	78843.27480	0	1	
GREENFIELD_DC_10	CZ_GLENDALE_CA	3195.00000	44.56129	142373.32899	0	1	
GREENFIELD_DC_10	CZ_WEST HOLLYWOOD_CA	7148.00000	43.68140	312234.67263	0	1	
GREENFIELD_DC_10	CZ_LONG BEACH_CA	7704.00000	21.82863	168167.77495	0	1	
GREENFIELD_DC_10	CZ_TORRANCE_CA	2424.00000	31.37039	76041.82442	0	1	
GREENFIELD_DC_10	CZ_COMPTON_CA	1539.00000	26.82292	41280.48108	0	1	
GREENFIELD_DC_10	CZ_LOS ANGELES_CA	63210.00000	31.76953	2008151.99788	0	1	
GREENFIELD_DC_10	CZ_INGLEWOOD_CA	1827.00000	36.58268	66836.55684	0	1	
GREENFIELD_DC_10	CZ_DOWNEY_CA	1863.00000	23.16497	43156.33655	0	1	
GREENFIELD_DC_10	CZ_NORWALK_CA	1758.00000	18.79139	33035.25962	0	1	
GREENFIELD_DC_10	CZ_FONTANA_CA	3267.00000	40.57466	132557.41140	0	1	
GREENFIELD_DC_10	CZ_SAN BERNARDINO_CA	3498.00000	48.23680	168732.30990	0	1	
GREENFIELD_DC_10	CZ_RIVERSIDE_CA	5064.00000	38.00381	192451.29551	0	1	
GREENFIELD_DC_10	CZ_MORENO VALLEY_CA	3222.00000	45.21847	145693.91340	0	1	
GREENFIELD_DC_10	CZ_ONTARIO_CA	2733.00000	29.33924	80184.14349	0	1	
GREENFIELD_DC_10	CZ_RANCHO CUCAMONGA_CA	2754.00000	34.73765	95667.47847	0	1	
GREENFIELD_DC_10	CZ_POMONA_CA	2484.00000	25.63893	63687.11110	0	1	
GREENFIELD_DC_10	CZ_CORONA_CA	2541.00000	22.11985	56206.53640	0	1	
GREENFIELD_DC_10	CZ_SIMI VALLEY_CA	2070.00000	72.44084	149952.53290	0	1	
GREENFIELD_DC_10	CZ_THOUSAND OAKS_CA	2112.00000	76.21498	160966.02858	0	1	
GREENFIELD_DC_10	CZ_SANTA CLARITA_CA	2940.00000	71.02063	208800.65832	0	1	
GREENFIELD_DC_10	CZ_LAS VEGAS_NV	9729.00000	266.52501	2593021.87070	0	1	
GREENFIELD_DC_10	CZ_NORTH LAS VEGAS_NV	3615.00000	269.33334	973640.02532	0	1	
GREENFIELD_DC_10	CZ_HENDERSON_NV	4296.00000	266.13225	1143304.13918	0	1	
GREENFIELD_DC_10	CZ_GARDEN GROVE_CA	2847.00000	6.44409	18346.33695	0	1	
GREENFIELD_DC_10	CZ_HUNTINGTON BEACH_CA	3168.00000	10.13966	32122.43162	0	1	
GREENFIELD_DC_10	CZ_COSTA MESA_CA	1833.00000	6.93110	12704.69767	0	1	
GREENFIELD_DC_10	CZ_ORANGE_CA	2274.00000	3.15403	7172.27109	0	1	
GREENFIELD_DC_10	CZ_SANTA ANA_CA	5409.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_10	CZ_IRVINE_CA	3540.00000	6.05345	21429.22451	0	1	
GREENFIELD_DC_10	CZ_ANAHEIM_CA	5604.00000	9.15525	51306.04843	0	1	
GREENFIELD_DC_10	CZ_FULLERTON_CA	2253.00000	10.86948	24488.92722	0	1	
GREENFIELD_DC_10	CZ_OXNARD_CA	3297.00000	95.35336	314380.04157	0	1	
GREENFIELD_DC_10	CZ_SAN BUENAVENTURA _CA	1773.00000	104.81270	185832.91760	0	1	
